T_C,P_kPa,x1_azeo,y1_pred,y1_std,min_diff,confidence
49.76500000000004,81.06,0.3822984427951558,0.38229626417160034,0.029502781108021736,2.1786235554488442e-06,0.9713426892579456
49.76500000000004,85.56333333333333,0.38585904410614696,0.385861337184906,0.04437625780701637,2.2930787590413892e-06,0.957509319581625
49.76500000000004,90.06666666666666,0.3923511890787671,0.39235273003578186,0.05505284667015076,1.540957014767308e-06,0.9478198207379821
49.76500000000004,94.57000000000001,0.40085923612921004,0.40085965394973755,0.06115291267633438,4.1782052750960474e-07,0.9423712530533412
49.76500000000004,99.07333333333334,0.4062647525575691,0.4062638282775879,0.059620220214128494,9.242799812181346e-07,0.9437343502164574
49.76500000000004,103.57666666666667,0.41199699850529814,0.41199302673339844,0.06166832521557808,3.9717718997023255e-06,0.9419137561600927
49.76500000000004,108.08000000000001,0.41424881044304407,0.41425347328186035,0.06927070766687393,4.662838816282822e-06,0.9352168658785939
49.76500000000004,112.58333333333334,0.41645792060478937,0.4164641797542572,0.0802428126335144,6.2591494678354564e-06,0.9257178000213756
49.76500000000004,117.08666666666667,0.41942224548416895,0.41941848397254944,0.09744228422641754,3.761511619515545e-06,0.9112096502686661
49.76500000000004,121.59,0.42227948661435816,0.42228254675865173,0.11940719932317734,3.0601442935762613e-06,0.8933299701883515
50.827578947368465,81.06,0.3778556062303543,0.3778567314147949,0.019253546372056007,1.1251844406201528e-06,0.9811101502265189
50.827578947368465,85.56333333333333,0.384939873129149,0.3849392831325531,0.03598921746015549,5.8999659591219e-07,0.9652610115495341
50.827578947368465,90.06666666666666,0.38744392929025623,0.38744884729385376,0.048580899834632874,4.918003597531584e-06,0.9536698600534357
50.827578947368465,94.57000000000001,0.3962577502626017,0.396258145570755,0.05765413120388985,3.9530815332256e-07,0.9454886720498465
50.827578947368465,99.07333333333334,0.4036952869077063,0.4036976397037506,0.06331833451986313,2.352796044324812e-06,0.9404521369901383
50.827578947368465,103.57666666666667,0.4099855566075874,0.40998631715774536,0.06307724863290787,7.605501579632801e-07,0.9406654138125675
50.827578947368465,108.08000000000001,0.41323856765018036,0.41324514150619507,0.06792688369750977,6.573856014713275e-06,0.9363936944237935
50.827578947368465,112.58333333333334,0.4150846527949121,0.41507941484451294,0.07793209701776505,5.237950399139546e-06,0.9277022205448989
50.827578947368465,117.08666666666667,0.41754303436645684,0.4175381660461426,0.09274382889270782,4.868320314266317e-06,0.9151275656375142
50.827578947368465,121.59,0.4206434544261446,0.42064547538757324,0.1121937707066536,2.0209614286503808e-06,0.8991238993944651
51.89015789473688,81.06,0.37584151681693506,0.375842809677124,0.01482171006500721,1.2928601889616864e-06,0.9853947645009903
51.89015789473688,85.56333333333333,0.38163918421115656,0.3816379904747009,0.02448188327252865,1.1937364556291463e-06,0.9761031564615613
51.89015789473688,90.06666666666666,0.3865309189598087,0.3865318298339844,0.041683051735162735,9.108741756969074e-07,0.9599848997583957
51.89015789473688,94.57000000000001,0.39012129297276354,0.39011821150779724,0.049663081765174866,3.081464966303571e-06,0.9526866452408153
51.89015789473688,99.07333333333334,0.39896530227778987,0.39896225929260254,0.06007291376590729,3.0429851873292613e-06,0.9433313378864683
51.89015789473688,103.57666666666667,0.40697791128729577,0.4069819450378418,0.06561736017465591,4.033750546028614e-06,0.9384231501597335
51.89015789473688,108.08000000000001,0.4117222527328227,0.4117162227630615,0.06753648817539215,6.029969761178755e-06,0.9367361313421484
51.89015789473688,112.58333333333334,0.4138266419922506,0.41381970047950745,0.07724898308515549,6.941512743163791e-06,0.9282905026617704
51.89015789473688,117.08666666666667,0.41574294737045575,0.41574668884277344,0.09178981930017471,3.7414723176865117e-06,0.9159272071624455
51.89015789473688,121.59,0.41853708880807866,0.4185348153114319,0.10847180336713791,2.2734966467763407e-06,0.9021429295380905
52.9527368421053,81.06,0.3752610552128508,0.37525999546051025,0.015416759066283703,1.0597523405486697e-06,0.9848173088255309
52.9527368421053,85.56333333333333,0.3797891464510536,0.37978804111480713,0.017600759863853455,1.1053362464763516e-06,0.9827036687097126
52.9527368421053,90.06666666666666,0.38523350715302385,0.38523221015930176,0.029802078381180763,1.2969937220885797e-06,0.9710603823716992
52.9527368421053,94.57000000000001,0.3878594566097081,0.3878568112850189,0.04572627320885658,2.645324689187767e-06,0.9562731908145107
52.9527368421053,99.07333333333334,0.39329285174626344,0.39329540729522705,0.054496053606271744,2.5555489636119866e-06,0.948320286813876
52.9527368421053,103.57666666666667,0.4022292280929367,0.40222710371017456,0.06262931227684021,2.1243827621475475e-06,0.9410619380123746
52.9527368421053,108.08000000000001,0.40936738235720016,0.4093649983406067,0.06948089599609375,2.3840165934707613e-06,0.9350330648670628
52.9527368421053,112.58333333333334,0.41221410574095046,0.41221553087234497,0.07637955993413925,1.4251313945057298e-06,0.9290403099638823
52.9527368421053,117.08666666666667,0.4142272029171611,0.4142264723777771,0.09082133322954178,7.305393839862617e-07,0.9167404134271453
52.9527368421053,121.59,0.4167221879180576,0.41672858595848083,0.10763885080814362,6.398040423238882e-06,0.9028213476535161
54.01531578947372,81.06,0.37143225891733156,0.3714327812194824,0.012975763529539108,5.223021508626857e-07,0.9871904501601032
54.01531578947372,85.56333333333333,0.38019852203296767,0.380199134349823,0.015694789588451385,6.123168553306968e-07,0.9845477305295514
54.01531578947372,90.06666666666666,0.38240275770154275,0.3824010491371155,0.021376296877861023,1.7085644272718525e-06,0.9790710858052962
54.01531578947372,94.57000000000001,0.38783005106868806,0.3878307342529297,0.03481592237949371,6.831842416232803e-07,0.9663554438750452
